order_no,discount_amount,adults,booking_fee,paid_from_wallet,order_time,source,isRelease,trip_type,leg_name,commission,departure_time,bf_discount,trip_id,isCancel,net_revenue,base_id,travel_date,ff_discount,facility_fee,amount_in_usd,voucher_consumption,paid_from_card,pick_stop
774671,11.25,1,0,0,09-25-2019 14:01:14,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,35988,09-25-2019,0,0,11.25,0,0,Times Square
774907,11.25,1,0,0,09-25-2019 16:36:58,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,175597,09-25-2019,0,0,11.25,0,0,Times Square
774935,0,1,0,0,09-25-2019 16:52:00,WEB,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,11.25,35,09-25-2019,0,0,11.25,0,11.25,Times Square
774942,0,1,0,0,09-25-2019 16:53:08,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,11.25,49,09-25-2019,0,0,11.25,0,11.25,Times Square
774944,11.25,1,0,0,09-25-2019 16:56:34,ANDROID,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,138113,09-25-2019,0,0,11.25,0,0,Times Square
774953,11.25,1,0,0,09-25-2019 16:59:38,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,128453,09-25-2019,0,0,11.25,0,0,Times Square
774958,11.25,1,0,0,09-25-2019 17:01:30,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,1316,09-25-2019,0,0,11.25,0,0,Times Square
774960,11.25,1,0,0,09-25-2019 17:01:46,WEB,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,1365,09-25-2019,0,0,11.25,0,0,Times Square
774962,11.25,1,0,0,09-25-2019 17:02:43,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,95,09-25-2019,0,0,11.25,0,0,Times Square
774964,11.25,1,0,0,09-25-2019 17:03:05,ANDROID,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,221920,09-25-2019,0,0,11.25,0,0,Times Square
774967,11.25,1,0,0,09-25-2019 17:04:38,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,260,09-25-2019,0,0,11.25,0,0,Times Square
774969,11.25,1,0,0,09-25-2019 17:07:40,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,54,09-25-2019,0,0,11.25,0,0,Times Square
774979,11.25,1,0,0,09-25-2019 17:14:52,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,76084,09-25-2019,0,0,11.25,0,0,Times Square
774983,11.25,1,0,0,09-25-2019 17:15:49,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,430,09-25-2019,0,0,11.25,0,0,Times Square
